Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2043,High Yield Bonds - Obligations,0.004025677396502173,0.4,430.8958835228763
2043,Investment Grade Bonds - Obligations,0.005123749699316374,0.51,548.4300991319658
2043,Government ZC Bonds - Obligations,0.0038507856587399027,0.39,412.17602039390243
2044,Emerging Markets - Equities,0.9717318776480586,97.17,114282.29381309428
2044,Developed Markets - Equities,0.01404700878704812,1.4,1652.024002013821
2044,Emerging Markets State - Obligations,0.003161697678833951,0.32,371.83720261932655
2044,High Yield Bonds - Obligations,0.001819432674118246,0.18,213.97768686974453
2044,Investment Grade Bonds - Obligations,0.002654726637733608,0.27,312.21395179628047
2044,Government ZC Bonds - Obligations,0.006585256574207395,0.66,774.4710696017205
2045,Emerging Markets - Equities,0.9681785456778429,96.82,116693.7032642349
2045,Developed Markets - Equities,0.009434807316804916,0.94,1137.1689760091133
2045,Emerging Markets State - Obligations,0.0057030994405869555,0.57,687.3895282820341
2045,High Yield Bonds - Obligations,0.007143588275189383,0.71,861.0103726716932
2045,Investment Grade Bonds - Obligations,0.006083297461669449,0.61,733.214459284598
2045,Government ZC Bonds - Obligations,0.0034566618279063886,0.35,416.6283909421968
2046,Emerging Markets - Equities,0.9785968186194206,97.86,119076.91791701091
2046,Developed Markets - Equities,0.00714203272835488,0.71,869.0517164716665
2046,Emerging Markets State - Obligations,0.004993601654224797,0.5,607.6278636683641
2046,High Yield Bonds - Obligations,0.0023364279262078646,0.23,284.29955124988453
2046,Investment Grade Bonds - Obligations,0.0055285643789538454,0.55,672.722815183831
2046,Government ZC Bonds - Obligations,0.0014025546928378982,0.14,170.66465663437674
2047,Emerging Markets - Equities,0.9564213949712372,95.64,117746.47583330919
2047,Developed Markets - Equities,0.009697969733206944,0.97,1193.9316339295779
2047,Emerging Markets State - Obligations,0.013066151228749963,1.31,1608.5935216209152
2047,High Yield Bonds - Obligations,0.00545805653920956,0.55,671.949546266895
2047,Investment Grade Bonds - Obligations,0.011573491736114274,1.16,1424.8299673956635
2047,Government ZC Bonds - Obligations,0.0037829357914820334,0.38,465.72291261227497
