Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
4.274678688852595e-17,0.0,4.082670204732189e-16,0.0,4.947003792364833e-17,0.0,4.327212988191394e-18,8.05913718542814e-18,4.9162392288952524e-17,0.0,0.0,0.4011145364569997,0.5988854635430004,7.951542509954953e-17,4.518203375381173e-19
0.0,0.0,4.089842900397502e-16,0.0,0.0,0.0,0.0,2.9665875184821235e-19,5.481514029904877e-17,0.0,2.669262058617667e-18,0.40749600323678525,0.5925039967632147,0.0,2.2301225854269493e-17
2.5025056669940875e-16,0.0,0.0,3.3392012170864754e-17,2.93176232177187e-17,0.0,0.0,0.0,0.0,0.0,3.267563922160923e-17,0.4131637261957645,0.5868362738042356,3.062916946174704e-17,3.46847549932552e-17
7.113527718213895e-17,0.0,5.717417185337549e-17,2.5436842259463332e-17,5.523964211164374e-17,0.0,0.0,1.8113253070706025e-17,0.0,0.0,0.0,0.43214102574831453,0.5678589742516853,0.0,7.635255636090346e-18
9.740457135391855e-17,0.0,0.0,0.0,3.002218259422413e-17,0.0,2.598342055713458e-17,1.4856541629748318e-17,0.0,0.0,4.90279989832219e-17,0.4291018515792069,0.5708981484207936,1.4842438519444697e-16,5.142799204702763e-17
1.636888249561526e-16,1.450288285663624e-16,0.0,0.0,0.0,5.477397241205003e-17,1.752263358478164e-17,2.0859407257107062e-17,0.0,0.0,0.0,0.4256849467298985,0.5743150532701013,0.0,1.250631426475762e-17
0.0,3.3542944849509923e-16,0.0,0.0,0.0,3.7718143176316056e-17,3.6539650982744217e-17,0.0,1.277451470534106e-17,4.6019057675429295e-17,0.0,0.423292314189368,0.5767076858106323,0.0,0.0
5.556317393815543e-17,0.0,2.2430728821443132e-17,6.603488273190195e-18,6.522127961574989e-17,0.0,0.0,0.0,4.1098740891585495e-17,0.0,7.412025036097719e-19,0.4353821116417868,0.5646178883582137,0.0,0.0
0.0,3.5758925011564474e-16,8.026382597115091e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.372973281912708e-18,0.4389424705985441,0.5610575294014556,0.0,5.1045359005114174e-18
2.4467662456150395e-16,0.0,0.0,0.0,9.101216493908853e-17,1.2579497197898993e-17,0.0,6.203374771484488e-17,0.0,0.0,2.198223389978291e-17,0.44229741933599925,0.5577025806640012,5.464020982685389e-17,0.0
0.0,0.0,0.0,6.463905600763452e-17,0.0,0.0,4.491610930998001e-17,0.0,5.882724543291646e-17,0.0,0.0,0.4454808154360538,0.5545191845639481,5.758430081507769e-16,0.0
0.0,0.0,0.0,0.0,5.892406462069067e-17,0.0,1.5913564032362501e-18,6.490959052217742e-18,4.628767028935863e-17,2.4263771082862497e-17,2.4920998709058475e-17,0.44853159451958075,0.5514684054804204,9.468688245972984e-17,0.0
3.653195086120074e-17,0.0,2.8726669599041313e-16,0.0,0.0,4.147794072849161e-17,6.386031062457396e-17,4.529498096392374e-17,0.0,0.0,3.896910575505193e-17,0.4512190699870851,0.5487809300129145,2.6258032205130327e-16,0.0
0.0,0.0,0.0,0.0,1.1644068961778138e-17,4.113322847546568e-17,0.0,2.0590658714055933e-17,0.0,0.0,0.0,0.4534044915448367,0.546595508455164,3.1809271686189644e-17,0.0
1.0799655077254567e-16,0.0,0.0,0.0,1.8994168516594125e-17,1.1957439207339338e-16,4.847929194528398e-17,1.609230319619605e-17,0.0,5.653316210879487e-17,0.0,0.4552020120491603,0.5447979879508413,3.208592192487309e-16,0.0
0.0,0.0,0.0,1.2164629287802285e-17,6.498024538245406e-17,0.0,0.0,4.952687396294696e-18,0.0,0.0,0.0,0.45791526503145313,0.5420847349685479,1.0429992797199236e-16,0.0
0.0,0.0,1.4395199904448735e-15,6.311196331568923e-17,0.0,6.712473236137789e-17,0.0,1.2442786293393614e-17,2.2714003449913457e-17,2.611748641917981e-17,0.0,0.45855921660910176,0.5414407833908969,3.489145248041593e-17,0.0
1.7207946879423244e-16,0.0,3.286052954712885e-05,2.6303082895575574e-17,7.588237127980957e-18,2.298960505191157e-17,4.404210578112874e-17,0.0,0.0,3.702765587225824e-17,3.6382204740389546e-17,0.46127780476314384,0.5386893347073091,2.833625463156825e-17,0.0
0.0,0.0,0.04785475760851212,0.0,9.42412676547736e-18,0.0,6.563077586670785e-17,0.0,4.0204430389974445e-17,5.231465103341593e-17,4.6715665817297346e-18,0.4357196660075791,0.5164255763839088,7.821254397174545e-17,3.2352854235877084e-17
0.0,1.5262964641054458e-16,0.09747452573215921,8.473106105046388e-17,0.0,6.75721654958596e-17,7.473423664543717e-17,0.0,3.3818961587443063e-17,1.2264704333491678e-17,4.081904359857563e-17,0.41003920568321855,0.4924862685846222,0.0,0.0
2.7298242911356638e-16,0.0,0.13934652521833024,0.0,6.584845094239707e-17,0.0,2.537834307237988e-17,0.0,0.0,1.0733429609093744e-16,2.1314668419669875e-17,0.3868286227425384,0.4738248520391316,0.0,0.0
3.13596112025757e-16,1.1943877218007856e-17,0.18140317917084264,0.0,0.0,0.0,0.0,2.817993361419918e-17,0.0,5.633499111857296e-17,1.9530637874399606e-18,0.3640468101057616,0.4545500107233955,7.249656268554182e-17,2.1910710163598165e-17
1.0131254170514713e-16,0.0,0.24016544866002218,7.737748946683393e-17,3.651244947741865e-17,3.0166915601333445e-17,3.237951439572788e-17,1.2822576335412099e-17,0.0,9.837925000738322e-17,0.0,0.3323989988882469,0.427435552451731,1.9670982733380404e-16,0.0
2.518032291826084e-16,1.9650950279665613e-16,0.2532143053176525,4.081843093291775e-18,0.0,0.0,0.0,2.6743380082471826e-17,6.569708012291425e-17,0.0,0.0,0.3283087679852961,0.4184769266970513,0.0,0.0
9.788786513328122e-17,0.0,0.26090827470929656,1.9361776953191717e-17,1.6192958135200793e-17,3.2640317335803894e-17,0.0,4.936690823555395e-18,1.51165808720601e-17,0.0,4.379643403415372e-18,0.332644921680733,0.4064468036099704,1.1974388335714356e-16,0.0
0.0,0.0,0.2886384803128361,6.556599981565645e-17,0.0,0.0,0.0,0.0,2.1245986504674618e-18,0.0,2.1044985828086516e-17,0.30451113973379296,0.4068503799533713,1.5023810266596418e-17,2.558807965600598e-17
0.0,1.5783456271589388e-16,0.3302803575731624,1.7063646738932904e-17,0.0,1.3473044791605268e-17,0.0,0.0,0.0,3.224425028409215e-18,7.156344923023317e-18,0.2811540442388003,0.3885655981880375,0.0,0.0
8.299163370870109e-17,0.0,0.36474429281277776,3.162618207831945e-17,0.0,1.1676257373473461e-17,0.0,0.0,3.341675907835548e-17,0.0,3.822777850049251e-17,0.26682388071305124,0.3684318264741712,1.8948269960285385e-16,2.7735252329648467e-17
0.0,0.0,0.3847453088697776,5.902904422048154e-17,0.0,1.278101077746799e-17,0.0,0.0,2.089029995494506e-17,0.0,0.0,0.2604759981061911,0.3547786930240314,1.2103689018153135e-16,0.0
0.0,4.3011741309355896e-16,0.4056483453068272,0.0,2.7967765883414984e-17,4.701977495507148e-17,0.0,1.3243055893114327e-17,0.0,0.0,9.28419574067197e-17,0.2518447208463119,0.3425069338468606,7.403885227612902e-17,0.0
3.9379521587446097e-16,0.0,0.42349372649713873,6.593326699528854e-18,0.0,0.0,0.0,3.959203993424891e-17,0.0,0.0,1.2597350643782143e-17,0.24357746676603803,0.33292880673682385,0.0,4.764742339481851e-17
4.137678784522287e-17,4.8400916408179135e-16,0.44460747105959203,4.72425769306731e-17,0.0,0.0,2.0320438539889496e-17,2.901178026269326e-17,0.0,2.657653984457076e-17,5.3873392987837685e-17,0.2279878676315743,0.3274046613088329,1.415506799930484e-16,5.815839955177411e-17
0.0,7.93634355077281e-16,0.4628643502574763,0.0,0.0,0.0,1.2957033689348032e-17,0.0,5.07799292092696e-17,0.0,0.0,0.21833506134990588,0.31880058839261766,0.0,2.4583918047276598e-17
