Large Cap,Mid Cap,Small Cap,International Developed,Emerging Markets,US Agg Bond,US High Yield,US Treasury,Corporate,Gold,Oil,Private Equity,Venture Capital,Angel Venture,Cash
0.0,0.0,1.375718377371887e-16,2.7565542358401525e-18,2.582143043217332e-17,0.0,3.912118528193594e-17,0.0,0.0,2.0733103936519994e-17,0.0,0.22587180704660903,0.7741281929533911,0.0,3.737983216258121e-17
0.0,4.848674430709466e-16,1.152587947199936e-15,5.891216578901919e-17,7.409219720892228e-17,5.423048582801446e-17,2.1128547499485737e-18,0.0,0.0,3.27904810441404e-17,0.0,0.2666898845105981,0.7333101154894017,0.0,0.0
0.0,1.113593083304639e-16,1.9071224945590923e-15,5.645531491341319e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30145833570549113,0.6985416642945086,0.0,0.0
0.0,3.541380120671159e-16,1.3722354706243554e-15,0.0,1.5149229707726872e-16,2.381884070451438e-17,0.0,0.0,0.0,0.0,0.0,0.32387418525765,0.6761258147423499,0.0,0.0
1.120579060445085e-16,2.7131401486222676e-17,1.7988566112884363e-15,0.0,9.041086881153622e-17,0.0,0.0,0.0,2.943442092617853e-17,7.326936950354577e-17,9.107855350224653e-17,0.34432690714274405,0.6556730928572543,0.0,2.8396676488948714e-17
0.0,2.328198149347357e-16,0.0,0.0,0.0,3.798707589399729e-17,0.0,0.0,0.0,0.0,5.1597924628130785e-17,0.36404813978129946,0.6359518602187008,0.0,6.064096135113459e-17
0.0,0.0,0.0,1.1013202164909895e-16,6.808088588532285e-18,0.0,6.140203638629394e-17,6.29564601580507e-18,2.2437647862638624e-17,9.322978261007865e-17,3.410221833975779e-17,0.3773028865090712,0.6226971134909289,2.7519094437400134e-17,3.5997335528212774e-17
1.2991759485536712e-17,1.2545114506125026e-16,0.0,0.0,0.0,2.604920991320909e-17,0.0,0.0,0.0,0.0,0.0,0.38881003377385154,0.6111899662261487,0.0,1.0354474469664523e-16
1.9216011510003573e-17,0.0,3.0281298359981256e-16,0.0,8.108477259931322e-17,3.3297420288644294e-19,1.3373205255342379e-17,0.0,0.0,0.0,0.0,0.3987631565129933,0.6012368434870065,0.0,1.5018577072155414e-17
0.0,0.0,0.0,1.143672058053228e-16,2.1531638146371662e-17,0.0,0.0,2.7055607191474323e-17,5.027296277534959e-17,9.467909637051942e-18,1.5627137689691877e-17,0.4076569381947886,0.5923430618052118,3.126887860167087e-16,3.5844019544518435e-17
9.827357431280193e-19,1.6952828406468818e-16,9.306852394395301e-16,0.0,3.056490032306809e-17,3.4490868694825205e-17,2.316718423876772e-18,0.0,1.1937196948517004e-17,0.0,0.0,0.41557925463802603,0.5844207453619731,0.0,0.0
0.0,1.900449085559867e-16,1.249000902703301e-16,0.0,0.0,1.9641109413063587e-17,5.761996899193606e-17,0.0,0.0,0.0,2.67004230232254e-17,0.4294270929055481,0.5705729070944523,0.0,0.0
0.0,4.732592742385455e-16,6.38378239159465e-16,0.0,0.0,0.0,0.0,9.716774119589724e-19,0.0,6.72907333756242e-17,0.0,0.424510560668296,0.5754894393317038,0.0,7.66707511316853e-17
3.063093933281276e-16,2.6630799102044493e-16,0.0,0.0,2.3336314861317404e-17,0.0,0.0,0.0,0.0,7.093700282395422e-17,1.018882688152995e-16,0.4350255490881325,0.5649744509118677,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.2474883738116635e-17,0.0,5.0169452359235694e-17,8.234869399481985e-17,7.846762539269636e-18,0.44043735397184475,0.5595626460281562,3.5354186586889694e-16,0.0
1.4659924447715016e-16,1.104812002760343e-16,1.417527936327753e-16,0.0,0.0,0.0,1.6294644143411526e-17,0.0,2.2375924875444095e-17,3.135655502382692e-16,1.1521413839650142e-18,0.4454831357369423,0.5545168642630571,6.327623767250105e-17,4.964120196501889e-17
0.0,0.0,9.621308592302689e-17,0.0,0.0,2.934347463084574e-17,0.0,7.457538038642363e-19,0.0,6.737327818042056e-17,0.0,0.4503318053075918,0.5496681946924087,0.0,1.2414574865658643e-17
1.3334471652821384e-16,0.0,0.0,2.800769164184201e-17,0.0,8.065251186107121e-17,0.0,0.0,3.64549976773661e-17,7.285529626179401e-17,0.0,0.4541945197286917,0.545805480271309,7.593590525465495e-17,4.0033498776045755e-18
0.0,2.6664171559797995e-16,0.0,0.0,3.1257179021239226e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.4574774528841056,0.5425225471158952,0.0,5.75123625772876e-18
0.0,0.0,0.0,6.995109643358362e-17,3.565297315309732e-18,3.332261040176167e-17,0.0,0.0,0.0,1.7697112333142088e-17,0.0,0.460581543276936,0.5394184567230658,2.482505514275901e-16,0.0
2.894072478575221e-17,0.0,0.058320111440699145,6.184940142022176e-17,0.0,0.0,0.0,0.0,0.0,3.614656184754238e-17,0.0,0.430327509061962,0.5113523794973394,2.785228391513708e-17,0.0
1.9501168454618285e-16,6.798120960202706e-16,0.1357454524229737,0.0,5.752284846893068e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.38856720215534585,0.47568734542168,0.0,4.9912645569749056e-17
