Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2046,Government ZC Bonds - Obligations,1.0,100.0,10464970.042129746
2047,Emerging Markets - Equities,0.0,0.0,0.0
2047,Developed Markets - Equities,0.0,0.0,0.0
2047,Emerging Markets State - Obligations,0.0,0.0,0.0
2047,High Yield Bonds - Obligations,0.0,0.0,0.0
2047,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2047,Government ZC Bonds - Obligations,1.0,100.0,10700508.408382822
2048,Emerging Markets - Equities,0.0,0.0,0.0
2048,Developed Markets - Equities,0.0,0.0,0.0
2048,Emerging Markets State - Obligations,0.0,0.0,0.0
2048,High Yield Bonds - Obligations,0.0,0.0,0.0
2048,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2048,Government ZC Bonds - Obligations,1.0,100.0,10950221.188198514
2049,Emerging Markets - Equities,0.0,0.0,0.0
2049,Developed Markets - Equities,0.0,0.0,0.0
2049,Emerging Markets State - Obligations,0.0,0.0,0.0
2049,High Yield Bonds - Obligations,0.0,0.0,0.0
2049,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2049,Government ZC Bonds - Obligations,1.0,100.0,11203985.255082853
2050,Emerging Markets - Equities,0.0,0.0,0.0
2050,Developed Markets - Equities,0.0,0.0,0.0
2050,Emerging Markets State - Obligations,0.0,0.0,0.0
2050,High Yield Bonds - Obligations,0.0,0.0,0.0
2050,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2050,Government ZC Bonds - Obligations,1.0,100.0,11461859.150154062
2051,Emerging Markets - Equities,0.0,0.0,0.0
2051,Developed Markets - Equities,0.0,0.0,0.0
2051,Emerging Markets State - Obligations,0.0,0.0,0.0
2051,High Yield Bonds - Obligations,0.0,0.0,0.0
2051,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2051,Government ZC Bonds - Obligations,1.0,100.0,11723902.20906922
2052,Emerging Markets - Equities,0.0,0.0,0.0
2052,Developed Markets - Equities,0.0,0.0,0.0
2052,Emerging Markets State - Obligations,0.0,0.0,0.0
2052,High Yield Bonds - Obligations,0.0,0.0,0.0
2052,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2052,Government ZC Bonds - Obligations,1.0,100.0,11990174.572395528
2053,Emerging Markets - Equities,0.0,0.0,0.0
2053,Developed Markets - Equities,0.0,0.0,0.0
2053,Emerging Markets State - Obligations,0.0,0.0,0.0
2053,High Yield Bonds - Obligations,0.0,0.0,0.0
2053,Investment Grade Bonds - Obligations,0.0,0.0,0.0
2053,Government ZC Bonds - Obligations,1.0,100.0,12260737.196113432
2054,Emerging Markets - Equities,0.0,0.0,0.0
2054,Developed Markets - Equities,0.0,0.0,0.0
