Year,Goal A (%),Goal B (%),Goal C (%),Goal D (%),Path_ID
2069,100.0,0.0,0.0,0.0,0
2070,100.0,0.0,0.0,0.0,0
2071,100.0,0.0,0.0,0.0,0
2072,100.0,0.0,0.0,0.0,0
2073,100.0,0.0,0.0,0.0,0
2074,100.0,0.0,0.0,0.0,0
2075,0.0,0.0,0.0,0.0,0
2025,21.782178217821784,33.663366336633665,13.861386138613863,30.693069306930692,1
2026,96.96969696969697,1.0101010101010102,1.0101010101010102,1.0101010101010102,1
2027,96.0,1.0,2.0,1.0,1
2028,93.06930693069307,0.9900990099009901,4.9504950495049505,0.9900990099009901,1
2029,97.0,1.0,1.0,1.0,1
2030,97.87234042553192,0.0,1.0638297872340425,1.0638297872340425,1
2031,94.05940594059405,0.0,4.9504950495049505,0.9900990099009901,1
2032,95.91836734693877,0.0,3.061224489795918,1.0204081632653061,1
2033,97.95918367346938,0.0,1.0204081632653061,1.0204081632653061,1
2034,96.90721649484536,0.0,2.0618556701030926,1.0309278350515463,1
2035,98.98989898989899,0.0,0.0,1.0101010101010102,1
2036,98.96907216494846,0.0,0.0,1.0309278350515463,1
2037,98.9795918367347,0.0,0.0,1.0204081632653061,1
2038,98.96907216494846,0.0,0.0,1.0309278350515463,1
2039,94.94949494949495,0.0,0.0,5.05050505050505,1
2040,100.0,0.0,0.0,0.0,1
2041,100.0,0.0,0.0,0.0,1
2042,100.0,0.0,0.0,0.0,1
2043,100.0,0.0,0.0,0.0,1
2044,100.0,0.0,0.0,0.0,1
2045,100.0,0.0,0.0,0.0,1
2046,100.0,0.0,0.0,0.0,1
2047,100.0,0.0,0.0,0.0,1
2048,100.0,0.0,0.0,0.0,1
2049,100.0,0.0,0.0,0.0,1
2050,100.0,0.0,0.0,0.0,1
2051,100.0,0.0,0.0,0.0,1
2052,100.0,0.0,0.0,0.0,1
2053,100.0,0.0,0.0,0.0,1
2054,100.0,0.0,0.0,0.0,1
2055,100.0,0.0,0.0,0.0,1
2056,100.0,0.0,0.0,0.0,1
2057,100.0,0.0,0.0,0.0,1
2058,100.0,0.0,0.0,0.0,1
2059,100.0,0.0,0.0,0.0,1
2060,100.0,0.0,0.0,0.0,1
2061,100.0,0.0,0.0,0.0,1
2062,100.0,0.0,0.0,0.0,1
2063,100.0,0.0,0.0,0.0,1
2064,100.0,0.0,0.0,0.0,1
2065,100.0,0.0,0.0,0.0,1
2066,100.0,0.0,0.0,0.0,1
2067,100.0,0.0,0.0,0.0,1
2068,100.0,0.0,0.0,0.0,1
2069,100.0,0.0,0.0,0.0,1
2070,100.0,0.0,0.0,0.0,1
2071,100.0,0.0,0.0,0.0,1
2072,100.0,0.0,0.0,0.0,1
2073,100.0,0.0,0.0,0.0,1
2074,100.0,0.0,0.0,0.0,1
2075,0.0,0.0,0.0,0.0,1
2025,63.0,17.0,5.0,15.0,2
2026,96.0,1.0,2.0,1.0,2
2027,93.06930693069307,0.9900990099009901,1.9801980198019802,3.9603960396039604,2
2028,95.0,3.0,1.0,1.0,2
2029,94.0,1.0,1.0,4.0,2
2030,63.0,0.0,1.0,36.0,2
2031,34.0,0.0,1.0,65.0,2
2032,46.464646464646464,0.0,1.0101010101010102,52.52525252525253,2
2033,63.0,0.0,1.0,36.0,2
2034,76.0,0.0,2.0,22.0,2
2035,84.84848484848484,0.0,0.0,15.151515151515152,2
2036,87.87878787878788,0.0,0.0,12.121212121212121,2
2037,92.78350515463917,0.0,0.0,7.216494845360824,2
2038,94.68085106382979,0.0,0.0,5.319148936170213,2
2039,89.69072164948454,0.0,0.0,10.309278350515463,2
2040,100.0,0.0,0.0,0.0,2
2041,100.0,0.0,0.0,0.0,2
2042,100.0,0.0,0.0,0.0,2
2043,100.0,0.0,0.0,0.0,2
2044,100.0,0.0,0.0,0.0,2
2045,100.0,0.0,0.0,0.0,2
2046,100.0,0.0,0.0,0.0,2
2047,100.0,0.0,0.0,0.0,2
2048,100.0,0.0,0.0,0.0,2
2049,100.0,0.0,0.0,0.0,2
2050,100.0,0.0,0.0,0.0,2
2051,100.0,0.0,0.0,0.0,2
2052,100.0,0.0,0.0,0.0,2
