Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2036,NORMAL,Investment Grade Bonds - Obligations,60520.20998890927,0.013482617839855634,0.4174222669450196,0.02,0.3974222669450196,24052.079049780943,9993.043701005758,14059.035348775185,74579.24533768446,616132.582812615,,,,,,,,
2036,NORMAL,Government ZC Bonds - Obligations,314334.94820471527,0.07002715260128217,-0.0003190670199921808,0.02,-0.02031906701999218,-6386.99287929741,-2653.6375017199566,-3733.355377577453,310601.5928271378,616132.582812615,,,,,,,,
2037,NORMAL,Emerging Markets - Equities,1117310.52,0.1901898566087124,1.563271609032538,0.02,1.543271609032538,1724313.6039893818,718374.6351053821,1005938.9688839997,2123249.4888839996,694073.3545384107,,,,,,,,
2037,NORMAL,Developed Markets - Equities,2124814.07,0.36168824696421414,0.6342964135996645,0.02,0.6142964135996645,1305265.6627671062,543793.0443954663,761472.6183716399,2886286.6883716397,694073.3545384107,,,,,,,,
2037,NORMAL,Emerging Markets State - Obligations,3748.980728652541,0.0006381557270321351,-0.04455513215778573,0.02,-0.06455513215778573,-242.0159463951568,-100.8274346261987,-141.1885117689581,3607.792216883583,694073.3545384107,,,,,,,,
2037,NORMAL,High Yield Bonds - Obligations,4856.934847880988,0.0008267529265511108,0.6425093875075452,0.02,0.6225093875075451,3023.487537318446,1259.6297746196888,1763.8577626987571,6620.792610579745,694073.3545384107,,,,,,,,
2037,NORMAL,Investment Grade Bonds - Obligations,45708.899644666475,0.007780620439482787,0.5121039034704264,0.02,0.49210390347042643,22493.527938478357,9371.137528377703,13122.390410100654,58831.29005476713,694073.3545384107,,,,,,,,
2037,NORMAL,Government ZC Bonds - Obligations,2578271.99944164,0.43887636703900695,-0.004768081602880114,0.02,-0.024768081602880115,-63858.85127659142,-26604.54506531441,-37254.30621127701,2541017.693230363,694073.3545384107,,,,,,,,
2038,NORMAL,Emerging Markets - Equities,12109.66,0.0015730185133820628,1.397931412049181,0.02,1.377931412049181,16686.28090323548,0.0,16686.28090323548,28795.94090323548,781873.6338875197,,,,,,,,
2038,NORMAL,Developed Markets - Equities,100641.47,0.013073108206505011,0.5929186691291186,0.02,0.5729186691291186,57659.37705159813,0.0,57659.37705159813,158300.84705159813,781873.6338875197,,,,,,,,
2038,NORMAL,Emerging Markets State - Obligations,4619.149430898795,0.0006000174712487405,-0.1987768374150329,0.02,-0.2187768374150329,-1010.5629040394874,0.0,-1010.5629040394874,3608.5865268593075,781873.6338875197,,,,,,,,
2038,NORMAL,High Yield Bonds - Obligations,106567.49492857787,0.013842885964379022,0.3918307936263796,0.02,0.3718307936263796,39625.07621406829,0.0,39625.07621406829,146192.57114264616,781873.6338875197,,,,,,,,
2038,NORMAL,Investment Grade Bonds - Obligations,69595.47388545336,0.009040300790395108,0.286052878198144,0.02,0.266052878198144,18516.07613678863,0.0,18516.07613678863,88111.550022242,781873.6338875197,,,,,,,,
2038,NORMAL,Government ZC Bonds - Obligations,7404824.963423705,0.9618706681954029,-0.08642585968062666,0.02,-0.10642585968062666,-788064.8625169331,0.0,-788064.8625169331,6616760.100906772,781873.6338875197,,,,,,,,
2039,NORMAL,Emerging Markets - Equities,1213691.08,0.17043107605836003,1.028166454979742,0.02,1.008166454979742,1223602.6335641346,505630.611172101,717972.0223920336,1931663.1023920337,880780.648574291,,,,,,,,
2039,NORMAL,Developed Markets - Equities,1555282.8,0.21839867289710915,0.4695178400329956,0.02,0.4495178400329956,699127.3648964695,288901.1408630756,410226.2240333939,1965509.024033394,880780.648574291,,,,,,,,
2039,NORMAL,Emerging Markets State - Obligations,84433.75529130035,0.01185650616295587,-0.3083442668551037,0.02,-0.3283442668551037,-27723.33947894525,-11456.144911718178,-16267.194567227072,68166.56072407328,880780.648574291,,,,,,,,
2039,NORMAL,High Yield Bonds - Obligations,45636.41780695024,0.006408437799746729,0.4464293952050307,0.02,0.4264293952050307,19460.710044741878,8041.769806513027,11418.94023822885,57055.35804517909,880780.648574291,,,,,,,,
2039,NORMAL,Investment Grade Bonds - Obligations,157128.26567799572,0.022064543309228808,0.319894009017798,0.02,0.299894009017798,47121.82552418779,19472.201829068177,27649.623695119615,184777.88937311532,880780.648574291,,,,,,,,
2039,NORMAL,Government ZC Bonds - Obligations,4065129.1960030985,0.570840763854888,-0.09458102954465253,0.02,-0.11458102954465253,-465786.6885100608,-192477.52622201806,-273309.1622880427,3791820.033715056,880780.648574291,,,,,,,,
2039,,,,,,,,,,,,,GOAL D,300000.0,420999.5772780447,300000.0,0.7600342607602528,0.8934956066842435,0.13346134592399073,True
2040,NORMAL,Emerging Markets - Equities,25656.81,0.003294710739839372,0.9840029669828569,0.02,0.9640029669828569,24733.240963315435,0.0,24733.240963315435,50390.050963315436,992199.4006189388,,,,,,,,
2040,NORMAL,Developed Markets - Equities,92828.54,0.011920546151357424,0.3965730392203368,0.02,0.3765730392203368,34956.72543418661,0.0,34956.72543418661,127785.2654341866,992199.4006189388,,,,,,,,
2040,NORMAL,Emerging Markets State - Obligations,96506.05189494173,0.012392792620663295,-0.2044278290553879,0.02,-0.22442782905538788,-21658.643717488376,0.0,-21658.643717488376,74847.40817745336,992199.4006189388,,,,,,,,
2040,NORMAL,High Yield Bonds - Obligations,38118.17995558974,0.00489493342636171,0.5221866091166396,0.02,0.5021866091166396,19142.43953759547,0.0,19142.43953759547,57260.61949318521,992199.4006189388,,,,,,,,
2040,NORMAL,Investment Grade Bonds - Obligations,28765.1792042759,0.0036938709394399366,0.3987589335951365,0.02,0.37875893359513646,10895.068600084534,0.0,10895.068600084534,39660.247804360435,992199.4006189388,,,,,,,,
2040,NORMAL,Government ZC Bonds - Obligations,7505397.636853916,0.9638031462565937,-0.02243493478264424,0.02,-0.04243493478264424,-318491.05923770834,0.0,-318491.05923770834,7186906.577616207,992199.4006189388,,,,,,,,
2041,NORMAL,Emerging Markets - Equities,58583.61,0.007682075405468009,1.0627473855065,0.02,1.0427473855065,61087.90616103244,0.0,61087.90616103244,119671.51616103244,1117712.6247972348,,,,,,,,
