Year,Final Wealth,Path_ID,source_folder
2064,147303.56162102445,3,P2_outputs_path_0_to_50
2065,139125.55900130168,3,P2_outputs_path_0_to_50
2066,141316.33217032556,3,P2_outputs_path_0_to_50
2067,142447.82822525615,3,P2_outputs_path_0_to_50
2068,141913.94151575275,3,P2_outputs_path_0_to_50
2069,149358.44428647473,3,P2_outputs_path_0_to_50
2070,154242.52455115676,3,P2_outputs_path_0_to_50
2071,157983.6024183277,3,P2_outputs_path_0_to_50
2072,161379.98431859026,3,P2_outputs_path_0_to_50
2073,194726.90015755643,3,P2_outputs_path_0_to_50
2074,194021.95095742217,3,P2_outputs_path_0_to_50
2075,,3,P2_outputs_path_0_to_50
2025,180357.5313797131,4,P2_outputs_path_0_to_50
2026,247231.98584348007,4,P2_outputs_path_0_to_50
2027,322238.1444627389,4,P2_outputs_path_0_to_50
2028,532644.2990529941,4,P2_outputs_path_0_to_50
2029,500097.3079181347,4,P2_outputs_path_0_to_50
2030,566132.5707037597,4,P2_outputs_path_0_to_50
2031,841864.2072798356,4,P2_outputs_path_0_to_50
2032,920511.3238764482,4,P2_outputs_path_0_to_50
2033,942618.9786531124,4,P2_outputs_path_0_to_50
2034,417988.46991781937,4,P2_outputs_path_0_to_50
2035,601296.9678163691,4,P2_outputs_path_0_to_50
2036,604480.5335111088,4,P2_outputs_path_0_to_50
2037,805068.1418640234,4,P2_outputs_path_0_to_50
2038,767965.6378468793,4,P2_outputs_path_0_to_50
2039,906375.9284890874,4,P2_outputs_path_0_to_50
2040,746528.3163942802,4,P2_outputs_path_0_to_50
2041,881221.2938081404,4,P2_outputs_path_0_to_50
2042,1174724.5008222298,4,P2_outputs_path_0_to_50
2043,1593166.3665560484,4,P2_outputs_path_0_to_50
2044,1784758.763542486,4,P2_outputs_path_0_to_50
2045,2153551.6479038843,4,P2_outputs_path_0_to_50
2046,2156367.677729584,4,P2_outputs_path_0_to_50
2047,2445344.579407459,4,P2_outputs_path_0_to_50
