Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID,source_folder
2042,Government ZC Bonds - Obligations,0.0725362670594355,7.25,85466.46334016313,0,P1_outputs_path_0_to_50
2043,Emerging Markets - Equities,0.2908993855625389,29.09,391848.6161449822,0,P1_outputs_path_0_to_50
2043,Developed Markets - Equities,0.649100614437461,64.91,874354.4680038368,0,P1_outputs_path_0_to_50
2043,Emerging Markets State - Obligations,0.0,0.0,0.0,0,P1_outputs_path_0_to_50
2043,High Yield Bonds - Obligations,0.0,0.0,0.0,0,P1_outputs_path_0_to_50
2043,Investment Grade Bonds - Obligations,7.829023887517825e-18,0.0,1.0545887438563668e-11,0,P1_outputs_path_0_to_50
2043,Government ZC Bonds - Obligations,0.0599999999999999,6.0,80821.47345630759,0,P1_outputs_path_0_to_50
2044,Emerging Markets - Equities,0.2362116535611732,23.62,289997.5882471716,0,P1_outputs_path_0_to_50
2044,Developed Markets - Equities,0.6894580607283565,68.95,846449.2407315344,0,P1_outputs_path_0_to_50
2044,Emerging Markets State - Obligations,0.0008063802794073,0.08,989.9949164771346,0,P1_outputs_path_0_to_50
2044,High Yield Bonds - Obligations,0.0009896909895682,0.1,1215.0458953136858,0,P1_outputs_path_0_to_50
2044,Investment Grade Bonds - Obligations,0.002013796866496,0.2,2472.343026684471,0,P1_outputs_path_0_to_50
2044,Government ZC Bonds - Obligations,0.0705204175749986,7.05,86578.07822185544,0,P1_outputs_path_0_to_50
2045,Emerging Markets - Equities,0.2500206609389633,25.0,339642.8425566749,0,P1_outputs_path_0_to_50
2045,Developed Markets - Equities,0.7162355177789326,71.62,972976.6583485508,0,P1_outputs_path_0_to_50
2045,Emerging Markets State - Obligations,0.0102023877881374,1.02,13859.526553585283,0,P1_outputs_path_0_to_50
2045,High Yield Bonds - Obligations,0.0067072410607407,0.67,9111.512668702915,0,P1_outputs_path_0_to_50
2045,Investment Grade Bonds - Obligations,0.0053297909360787,0.53,7240.303009216133,0,P1_outputs_path_0_to_50
2045,Government ZC Bonds - Obligations,0.011504401497147,1.15,15628.25892760199,0,P1_outputs_path_0_to_50
2046,Emerging Markets - Equities,0.2289551885194178,22.9,334336.04562700953,0,P1_outputs_path_0_to_50
2046,Developed Markets - Equities,0.633753406505369,63.38,925450.124995449,0,P1_outputs_path_0_to_50
2046,Emerging Markets State - Obligations,0.0018102422048874,0.18,2643.439636913317,0,P1_outputs_path_0_to_50
2046,High Yield Bonds - Obligations,0.0009367767916373,0.09,1367.9456236679027,0,P1_outputs_path_0_to_50
2046,Investment Grade Bonds - Obligations,0.0015254910913382,0.15,2227.626560531097,0,P1_outputs_path_0_to_50
2046,Government ZC Bonds - Obligations,0.13301889488735,13.3,194243.29973871572,0,P1_outputs_path_0_to_50
2047,Emerging Markets - Equities,0.1904479517446285,19.04,334723.0133031313,0,P1_outputs_path_0_to_50
2047,Developed Markets - Equities,0.2612709317506153,26.13,459198.3939073751,0,P1_outputs_path_0_to_50
2047,Emerging Markets State - Obligations,0.0036043603854214,0.36,6334.866603640135,0,P1_outputs_path_0_to_50
2047,High Yield Bonds - Obligations,0.010872347584726,1.09,19108.763900587168,0,P1_outputs_path_0_to_50
2047,Investment Grade Bonds - Obligations,0.007856761710141,0.79,13808.7016968784,0,P1_outputs_path_0_to_50
2047,Government ZC Bonds - Obligations,0.5259476468244676,52.59,924382.644035142,0,P1_outputs_path_0_to_50
2048,Emerging Markets - Equities,0.1770946344217901,17.71,308016.15771829657,0,P1_outputs_path_0_to_50
2048,Developed Markets - Equities,0.3020602692711177,30.21,525365.68283966,0,P1_outputs_path_0_to_50
2048,Emerging Markets State - Obligations,0.0015807488685024,0.16,2749.3559835020365,0,P1_outputs_path_0_to_50
2048,High Yield Bonds - Obligations,0.0019369490741542,0.19,3368.8858697776586,0,P1_outputs_path_0_to_50
2048,Investment Grade Bonds - Obligations,0.0005251920600554,0.05,913.45308642804,0,P1_outputs_path_0_to_50
2048,Government ZC Bonds - Obligations,0.5168022063043801,51.68,898860.8288779828,0,P1_outputs_path_0_to_50
2049,Emerging Markets - Equities,0.1633179121120208,16.33,317976.2446230032,0,P1_outputs_path_0_to_50
2049,Developed Markets - Equities,0.201786240359485,20.18,392873.2010858292,0,P1_outputs_path_0_to_50
2049,Emerging Markets State - Obligations,0.0156946190057288,1.57,30557.064731561342,0,P1_outputs_path_0_to_50
2049,High Yield Bonds - Obligations,0.0135401797794421,1.35,26362.42076640184,0,P1_outputs_path_0_to_50
2049,Investment Grade Bonds - Obligations,0.0366109452627265,3.66,71280.67421505615,0,P1_outputs_path_0_to_50
2049,Government ZC Bonds - Obligations,0.5690501034805966,56.91,1107927.5541006213,0,P1_outputs_path_0_to_50
2050,Emerging Markets - Equities,0.0016289081605016,0.16,3461.214791266241,0,P1_outputs_path_0_to_50
2050,Developed Markets - Equities,0.0246260689634986,2.46,52327.14539348592,0,P1_outputs_path_0_to_50
2050,Emerging Markets State - Obligations,0.0557887876810894,5.58,118543.80854052235,0,P1_outputs_path_0_to_50
2050,High Yield Bonds - Obligations,0.0191331416906262,1.91,40655.40011942404,0,P1_outputs_path_0_to_50
2050,Investment Grade Bonds - Obligations,0.0078653773119347,0.79,16712.88839425728,0,P1_outputs_path_0_to_50
2050,Government ZC Bonds - Obligations,0.8909577161923492,89.1,1893167.5219357328,0,P1_outputs_path_0_to_50
2051,Emerging Markets - Equities,0.0343091679143536,3.43,77262.5179704518,0,P1_outputs_path_0_to_50
2051,Developed Markets - Equities,0.0371062797768438,3.71,83561.47299263408,0,P1_outputs_path_0_to_50
2051,Emerging Markets State - Obligations,0.016022587881706,1.6,36082.06084256402,0,P1_outputs_path_0_to_50
2051,High Yield Bonds - Obligations,0.0405296135075005,4.05,91270.64811876882,0,P1_outputs_path_0_to_50
