Year,Path_ID,Asset,Weight,Allocation (%),Invested Amt (DKK)
2047,0,Emerging Markets State - Obligations,0.013978828,1.4,27879.60371
2047,0,High Yield Bonds - Obligations,0.023475825,2.35,46820.56942
2047,0,Investment Grade Bonds - Obligations,0.003387859,0.34,6756.801709
2047,0,Government ZC Bonds - Obligations,0.006791681,0.68,13545.44067
2048,0,Emerging Markets - Equities,0.961816,96.18,1844268.205
2048,0,Developed Markets - Equities,0.008179483,0.82,15684.04028
2048,0,Emerging Markets State - Obligations,0.004880749,0.49,9358.765487
2048,0,High Yield Bonds - Obligations,0.008984423,0.9,17227.50061
2048,0,Investment Grade Bonds - Obligations,0.009670541,0.97,18543.12265
2048,0,Government ZC Bonds - Obligations,0.006468803,0.65,12403.83575
2049,0,Emerging Markets - Equities,0.926033412,92.6,2173815.691
2049,0,Developed Markets - Equities,0.01696431,1.7,39822.8436
2049,0,Emerging Markets State - Obligations,0.012285313,1.23,28839.13901
2049,0,High Yield Bonds - Obligations,0.018088445,1.81,42461.69236
2049,0,Investment Grade Bonds - Obligations,0.016430424,1.64,38569.57396
2049,0,Government ZC Bonds - Obligations,0.010198095,1.02,23939.50303
2050,0,Emerging Markets - Equities,0.961012918,96.1,2631991.593
2050,0,Developed Markets - Equities,0.002278116,0.23,6239.232583
2050,0,Emerging Markets State - Obligations,0.000569564,0.06,1559.904347
2050,0,High Yield Bonds - Obligations,0.002467223,0.25,6757.151444
2050,0,Investment Grade Bonds - Obligations,0.001782387,0.18,4881.545317
2050,0,Government ZC Bonds - Obligations,0.031889791,3.19,87338.74519
2051,0,Emerging Markets - Equities,0.983038558,98.3,2708607.467
2051,0,Developed Markets - Equities,3.15E-05,0,86.90822005
2051,0,Emerging Markets State - Obligations,0.005833912,0.58,16074.42424
2051,0,High Yield Bonds - Obligations,0.001751067,0.18,4824.788745
2051,0,Investment Grade Bonds - Obligations,0.002589883,0.26,7136.014881
2051,0,Government ZC Bonds - Obligations,0.006755038,0.68,18612.43905
2052,0,Emerging Markets - Equities,0.954228538,95.42,2712540.355
2052,0,Developed Markets - Equities,0.006547104,0.65,18611.14263
2052,0,Emerging Markets State - Obligations,0.009733162,0.97,27667.9989
2052,0,High Yield Bonds - Obligations,0.015297039,1.53,43484.16928
2052,0,Investment Grade Bonds - Obligations,0.013799465,1.38,39227.08779
2052,0,Government ZC Bonds - Obligations,0.000394692,0.04,1121.973691
2053,0,Emerging Markets - Equities,0.943039928,94.3,2866547.977
2053,0,Developed Markets - Equities,0.013782468,1.38,41894.41612
2053,0,Emerging Markets State - Obligations,0.018049348,1.8,54864.40361
2053,0,High Yield Bonds - Obligations,0.013348716,1.33,40575.94309
2053,0,Investment Grade Bonds - Obligations,0.003805255,0.38,11566.79127
2053,0,Government ZC Bonds - Obligations,0.007974285,0.8,24239.34443
2054,0,Emerging Markets - Equities,0.238268666,23.83,871550.3682
2054,0,Developed Markets - Equities,0.695525011,69.55,2544124.2
2054,0,Emerging Markets State - Obligations,0.002214236,0.22,8099.338601
2054,0,High Yield Bonds - Obligations,0.001581212,0.16,5783.833487
2054,0,Investment Grade Bonds - Obligations,0.000696924,0.07,2549.242342
2054,0,Government ZC Bonds - Obligations,0.061713949,6.17,225740.1951
2055,0,Emerging Markets - Equities,0.954955147,95.5,3322647.272
2055,0,Developed Markets - Equities,0.004932719,0.49,17162.77949
2055,0,Emerging Markets State - Obligations,0.000124537,0.01,433.3104069
2055,0,High Yield Bonds - Obligations,0.006320836,0.63,21992.56124
2055,0,Investment Grade Bonds - Obligations,0.003101051,0.31,10789.72098
2055,0,Government ZC Bonds - Obligations,0.03056571,3.06,106349.5744
2056,0,Emerging Markets - Equities,0.934250619,93.43,3452969.001
2056,0,Developed Markets - Equities,0.015813119,1.58,58444.92891
2056,0,Emerging Markets State - Obligations,0.016789477,1.68,62053.52354
2056,0,High Yield Bonds - Obligations,0.011255042,1.13,41598.37941
2056,0,Investment Grade Bonds - Obligations,0.00750127,0.75,27724.52125
2056,0,Government ZC Bonds - Obligations,0.014390473,1.44,53186.86002
2057,0,Emerging Markets - Equities,0.977691201,97.77,2937216.135
2057,0,Developed Markets - Equities,0.000497654,0.05,1495.070454
2057,0,Emerging Markets State - Obligations,0.000422283,0.04,1268.636831
2057,0,High Yield Bonds - Obligations,0.011334696,1.13,34052.11386
2057,0,Investment Grade Bonds - Obligations,0.0099892,1,30009.92387
2057,0,Government ZC Bonds - Obligations,6.50E-05,0.01,195.1752963
2058,0,Emerging Markets - Equities,0.961122273,96.11,3036343.718
2058,0,Developed Markets - Equities,0.006479811,0.65,20470.78982
2058,0,Emerging Markets State - Obligations,0.009888787,0.99,31240.30735
2058,0,High Yield Bonds - Obligations,0.010210268,1.02,32255.91918
2058,0,Investment Grade Bonds - Obligations,0.00689427,0.69,21780.13705
2058,0,Government ZC Bonds - Obligations,0.005404592,0.54,17073.99748
2059,0,Emerging Markets - Equities,0.225926671,22.59,783529.8121
2059,0,Developed Markets - Equities,0.202554129,20.26,702472.1721
2059,0,Emerging Markets State - Obligations,0.217211298,21.72,753304.2799
2059,0,High Yield Bonds - Obligations,0.18759548,18.76,650594.5077
2059,0,Investment Grade Bonds - Obligations,0.082743269,8.27,286959.5605
2059,0,Government ZC Bonds - Obligations,0.083969153,8.4,291211.0118
2060,0,Emerging Markets - Equities,0.106281974,10.63,15862.24707
2060,0,Developed Markets - Equities,0.063773196,6.38,9517.946977
2060,0,Emerging Markets State - Obligations,0.062673665,6.27,9353.845425
2060,0,High Yield Bonds - Obligations,0.407342671,40.73,60794.60018
2060,0,Investment Grade Bonds - Obligations,0.20440621,20.44,30506.97781
2060,0,Government ZC Bonds - Obligations,0.155522284,15.55,23211.20702
2061,0,Emerging Markets - Equities,0.15556813,15.56,22168.353
2061,0,Developed Markets - Equities,0.266737347,26.67,38009.89097
2061,0,Emerging Markets State - Obligations,0.164627854,16.46,23459.35747
2061,0,High Yield Bonds - Obligations,0.095524649,9.55,13612.19764
2061,0,Investment Grade Bonds - Obligations,0.164055423,16.41,23377.78656
2061,0,Government ZC Bonds - Obligations,0.153486598,15.35,21871.73611
2062,0,Emerging Markets - Equities,0.218098992,21.81,33250.02082
2062,0,Developed Markets - Equities,0.104954578,10.5,16000.72462
2062,0,Emerging Markets State - Obligations,0.185331423,18.53,28254.48038
2062,0,High Yield Bonds - Obligations,0.18353531,18.35,27980.65617
2062,0,Investment Grade Bonds - Obligations,0.085247209,8.52,12996.26129
2062,0,Government ZC Bonds - Obligations,0.222832488,22.28,33971.66035
2063,0,Emerging Markets - Equities,0.061901204,6.19,9706.446576
2063,0,Developed Markets - Equities,0.343865821,34.39,53920.03699
2063,0,Emerging Markets State - Obligations,0.20878037,20.88,32737.90113
2063,0,High Yield Bonds - Obligations,0.159141675,15.91,24954.28302
2063,0,Investment Grade Bonds - Obligations,0.176773198,17.68,27719.002
2063,0,Government ZC Bonds - Obligations,0.049537732,4.95,7767.786672
2064,0,Emerging Markets - Equities,0.22547763,22.55,37539.49432
2064,0,Developed Markets - Equities,0.14196298,14.2,23635.24251
2064,0,Emerging Markets State - Obligations,0.017592044,1.76,2928.877884
2064,0,High Yield Bonds - Obligations,0.202727455,20.27,33751.84554
2064,0,Investment Grade Bonds - Obligations,0.217863852,21.79,36271.88566
2064,0,Government ZC Bonds - Obligations,0.194376039,19.44,32361.4285
2065,0,Emerging Markets - Equities,0.06175512,6.18,9564.714765
2065,0,Developed Markets - Equities,0.223672452,22.37,34642.68549
2065,0,Emerging Markets State - Obligations,0.246646297,24.66,38200.90502
2065,0,High Yield Bonds - Obligations,0.166835588,16.68,25839.71668
2065,0,Investment Grade Bonds - Obligations,0.173675344,17.37,26899.06714
2065,0,Government ZC Bonds - Obligations,0.1274152,12.74,19734.23481
2066,0,Emerging Markets - Equities,0.027287406,2.73,4095.114544
2066,0,Developed Markets - Equities,0.253382747,25.34,38026.01779
2066,0,Emerging Markets State - Obligations,0.077739498,7.77,11666.63309
2066,0,High Yield Bonds - Obligations,0.218589801,21.86,32804.52111
2066,0,Investment Grade Bonds - Obligations,0.179776492,17.98,26979.6747
2066,0,Government ZC Bonds - Obligations,0.243224057,24.32,36501.46835
2067,0,Emerging Markets - Equities,0.238022413,23.8,34697.5638
2067,0,Developed Markets - Equities,0.104749037,10.47,15269.72334
2067,0,Emerging Markets State - Obligations,0.199032508,19.9,29013.83557
2067,0,High Yield Bonds - Obligations,0.19070249,19.07,27799.53247
2067,0,Investment Grade Bonds - Obligations,0.031898144,3.19,4649.931422
2067,0,Government ZC Bonds - Obligations,0.235595407,23.56,34343.76855
2068,0,Emerging Markets - Equities,0.241176833,24.12,36622.2462
2068,0,Developed Markets - Equities,0.197539065,19.75,29995.93366
2068,0,Emerging Markets State - Obligations,0.110848734,11.08,16832.17069
2068,0,High Yield Bonds - Obligations,0.060268692,6.03,9151.68704
2068,0,Investment Grade Bonds - Obligations,0.113237726,11.32,17194.93471
2068,0,Government ZC Bonds - Obligations,0.27692895,27.69,42051.13762
2069,0,Emerging Markets - Equities,0.241507998,24.15,34062.2328
2069,0,Developed Markets - Equities,0.211896337,21.19,29885.81096
2069,0,Emerging Markets State - Obligations,0.127759995,12.78,18019.24046
2069,0,High Yield Bonds - Obligations,0.026187387,2.62,3693.463014
2069,0,Investment Grade Bonds - Obligations,0.056938598,5.69,8030.606824
2069,0,Government ZC Bonds - Obligations,0.335709686,33.57,47348.41749
2070,0,Emerging Markets - Equities,0.247658712,24.77,35087.1965
2070,0,Developed Markets - Equities,0.144740219,14.47,20506.15733
2070,0,Emerging Markets State - Obligations,0.26466971,26.47,37497.23974
2070,0,High Yield Bonds - Obligations,0.103900623,10.39,14720.18302
2070,0,Investment Grade Bonds - Obligations,0.231051176,23.11,32734.31382
2070,0,Government ZC Bonds - Obligations,0.00797956,0.8,1130.508958
2071,0,Emerging Markets - Equities,0.21736429,21.74,38169.67549
2071,0,Developed Markets - Equities,0.008668036,0.87,1522.12736
2071,0,Emerging Markets State - Obligations,0.352239767,35.22,61854.12339
2071,0,High Yield Bonds - Obligations,0.015495787,1.55,2721.096346
2071,0,Investment Grade Bonds - Obligations,0.144393048,14.44,25355.75551
2071,0,Government ZC Bonds - Obligations,0.261839071,26.18,45979.55066
2072,0,Emerging Markets - Equities,0.333911712,33.39,59382.32948
2072,0,Developed Markets - Equities,0.023074918,2.31,4103.606796
2072,0,Emerging Markets State - Obligations,0.228205062,22.82,40583.62643
2072,0,High Yield Bonds - Obligations,0.017249131,1.72,3067.558076
2072,0,Investment Grade Bonds - Obligations,0.178770941,17.88,31792.34077
2072,0,Government ZC Bonds - Obligations,0.218788237,21.88,38908.95331
2073,0,Emerging Markets - Equities,0.110750053,11.08,20289.84194
2073,0,Developed Markets - Equities,0.274371855,27.44,50265.99475
