Year,Final Wealth,Path_ID
2067,2049615.6781734806,2
2068,2026839.579194184,2
2069,2488156.4766035406,2
2070,2420266.06040436,2
2071,2353267.1184000964,2
2072,2513871.0030914587,2
2073,2609436.6156718256,2
2074,0.0,2
2075,0.0,2
2025,0.0,3
2026,25759.31045225834,3
2027,77820.4377026438,3
2028,144733.34533414012,3
2029,212725.43620054307,3
2030,265481.92508963513,3
2031,266777.40185653674,3
2032,362936.9511442781,3
2033,497783.3581287135,3
2034,635319.2413229472,3
2035,851516.9490903734,3
2036,892033.0124191674,3
2037,1053091.308111615,3
2038,1135272.852289683,3
2039,1252277.337196961,3
2040,1378075.5867448123,3
2041,1653762.1292989682,3
2042,1456076.4384509628,3
2043,1278540.0792685868,3
2044,1461040.9471306955,3
2045,1384498.1794910817,3
2046,1337140.8801639865,3
2047,1452151.4286430776,3
2048,1580454.9812716565,3
2049,1869911.262420736,3
2050,1696620.1289916579,3
2051,1963603.2574428467,3
2052,1716530.0198487157,3
2053,1786683.0472371704,3
2054,2253482.79596803,3
2055,2466441.707226016,3
2056,2479987.2742509777,3
2057,2187258.4146240503,3
2058,2127058.698104853,3
2059,2309156.9335431466,3
2060,3036333.3539117426,3
2061,3691701.765859632,3
2062,4200122.2109105,3
2063,4983813.535594155,3
2064,4805543.937835746,3
2065,4240364.831678905,3
2066,4829666.321600357,3
2067,5020480.35659952,3
2068,5427424.982330684,3
2069,5490331.251834966,3
2070,5249328.121180092,3
2071,4677226.563597122,3
2072,5999265.177466799,3
2073,6125764.812607559,3
2074,1228325.8562109862,3
2075,,3
2025,0.0,4
2026,47202.47809578489,4
2027,90787.91961310833,4
2028,142995.86343808737,4
2029,192791.98038243598,4
2030,243176.8479736019,4
2031,344080.14853854285,4
2032,395034.38816922053,4
2033,482712.03327079176,4
2034,560563.4141189781,4
2035,710224.7403406539,4
2036,688978.0956457965,4
2037,825022.3627835771,4
2038,901687.1165263541,4
2039,781213.1547600452,4
2040,901622.8462215331,4
2041,862696.2864745712,4
2042,1027768.3272525216,4
2043,1159877.713428971,4
2044,871935.2010004551,4
2045,956952.0590509187,4
2046,1287100.2992184747,4
2047,1291844.5568446058,4
2048,1475831.5095927916,4
2049,1689209.745085507,4
2050,1585679.1958867067,4
2051,1908439.140809451,4
2052,2236070.1918500704,4
2053,2652310.667046783,4
2054,2895471.6915072403,4
2055,2929115.9662071937,4
2056,3194391.524273383,4
2057,3916011.452044466,4
2058,4010452.70739294,4
2059,4175846.166853967,4
2060,3904227.371902342,4
2061,3876896.934777351,4
2062,4321966.758716703,4
2063,4488149.589019649,4
2064,4813765.72282239,4
2065,4701556.5254394375,4
2066,5263540.880335156,4
2067,5468445.650151252,4
2068,5755455.878045281,4
2069,5947746.377043147,4
2070,5555942.70251445,4
2071,5014892.080232702,4
2072,5186373.608099085,4
2073,5517726.495826784,4
2074,212024.199257778,4
2075,,4
2025,0.0,5
2026,46042.3504560658,5
2027,86379.3655803218,5
2028,133386.9489559629,5
2029,179942.97387315947,5
2030,181749.62335212098,5
2031,258814.7812457002,5
2032,373070.90711302374,5
2033,436025.1738725647,5
2034,492673.4070933265,5
2035,510359.4495056735,5
2036,622786.1974203363,5
2037,1001371.7314398343,5
2038,1129237.597935819,5
2039,1171851.779651534,5
2040,1522358.0312901395,5
2041,1272656.9179954396,5
2042,1567143.945507926,5
2043,1973307.5893381396,5
2044,1621176.8530224455,5
2045,1800023.899705494,5
2046,2112791.0921082725,5
2047,2267235.3707898627,5
2048,1944208.9245242095,5
2049,1767925.0613021322,5
2050,2320622.729672913,5
2051,2426693.2852905313,5
2052,2573002.0640452867,5
2053,2688201.767671818,5
2054,2852230.4579268186,5
2055,3423547.1267999858,5
2056,4201643.8805550765,5
2057,4325160.172215011,5
2058,4425182.461334611,5
2059,3567118.29507945,5
2060,3419253.7947141794,5
2061,3036320.655291836,5
2062,2984490.260822029,5
2063,2946021.9956547017,5
2064,2906119.3347345227,5
2065,3149348.5403637714,5
2066,3773443.047930159,5
2067,3750612.3722810773,5
2068,3665934.864011991,5
2069,4085157.791430338,5
2070,4109250.9411253743,5
2071,4266414.945119212,5
2072,3145272.8557787426,5
2073,3246785.61255702,5
2074,0.0,5
2075,0.0,5
2025,0.0,6
2026,49298.593122779566,6
2027,86289.21887933552,6
2028,137044.42157235582,6
2029,166453.84705166426,6
2030,219300.4727177766,6
2031,268219.8934370596,6
2032,476676.03250989824,6
2033,574926.5625045794,6
2034,722355.4513073656,6
2035,728427.4767811939,6
2036,805157.378923537,6
2037,999934.1704193103,6
2038,857468.4076197267,6
2039,880015.8107265955,6
2040,996928.888326193,6
2041,893988.979350798,6
2042,1047447.1907467551,6
2043,1049256.5538066581,6
2044,1091735.4152076393,6
2045,872768.0218835063,6
2046,884125.1473487786,6
2047,985433.1776091452,6
2048,1196435.6275531698,6
2049,1282786.3901115768,6
2050,1537048.476987494,6
2051,1692361.2756207385,6
2052,1299649.8952593366,6
2053,1274115.158146871,6
2054,1289637.0267411943,6
2055,1128128.0877835487,6
2056,744598.1959265505,6
2057,845392.090088275,6
2058,982603.0435913913,6
2059,1210183.3608066018,6
2060,1363477.0442008749,6
2061,1416693.1814621054,6
2062,1486976.5281801277,6
2063,1557575.2084352057,6
2064,2021685.8616927795,6
2065,2176997.1364185438,6
2066,2198333.2143977094,6
2067,2077144.757904979,6
2068,1920994.8642679264,6
2069,1828641.2757377261,6
2070,1806584.1840366316,6
2071,1758380.2309988164,6
2072,1781679.2418060103,6
2073,1665060.6676019214,6
2074,0.0,6
2075,0.0,6
2025,0.0,7
2026,55697.8834765221,7
2027,106426.21959892877,7
2028,139741.46022377233,7
2029,169869.81939332676,7
2030,208914.47676455788,7
2031,294015.91950479965,7
2032,354996.2704644122,7
2033,463557.6160844108,7
2034,555779.903012394,7
2035,599790.3065092424,7
2036,612978.6501682627,7
2037,649516.935479116,7
2038,613253.4993367818,7
2039,694847.2127762281,7
2040,864643.8757634667,7
2041,734808.1997101,7
2042,795776.4961226318,7
2043,849550.3557620943,7
2044,880003.4305828277,7
2045,850623.8079679667,7
2046,794570.5716544619,7
2047,927205.0034760413,7
2048,967319.9254381167,7
2049,906637.3647851198,7
2050,893763.6969042822,7
2051,890957.5374781907,7
2052,995961.9433909163,7
2053,1025774.6905029642,7
2054,1086069.2434477785,7
2055,1040436.7098846748,7
2056,1181079.811897685,7
2057,1335967.764086508,7
2058,1734669.8884558443,7
2059,2090543.6578499111,7
2060,2197895.3412105595,7
2061,2599816.351273506,7
2062,2789700.482387366,7
2063,2626786.0799992457,7
2064,3602893.833211681,7
2065,3751513.08286531,7
2066,4080678.8359780833,7
2067,4313689.113661133,7
2068,4569097.3945714235,7
2069,4387583.785945481,7
2070,4124455.372104848,7
2071,3891222.9727675677,7
2072,4865347.638404874,7
2073,4476580.244203161,7
2074,192358.4890220603,7
2075,,7
2025,0.0,8
2026,35134.85527122067,8
2027,85209.00904054692,8
2028,117336.61191419515,8
2029,182671.10066429738,8
2030,231564.4920286041,8
2031,258743.70478756126,8
2032,312812.3982368037,8
2033,292026.3952567084,8
2034,281948.9859764659,8
2035,388542.85010066396,8
2036,476605.663856943,8
