Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal B Allocation (%),Goal B Amount Taken (DKK),Goal B Utility Net Δ,Goal B Utility Loss,Goal B Value Now,Goal B Utility φ_before,Goal B Utility φ_after,Goal C Allocation (%),Goal C Amount Taken (DKK),Goal C Utility Net Δ,Goal C Utility Loss,Goal C Value Now,Goal C Utility φ_before,Goal C Utility φ_after,Goal D Allocation (%),Goal D Amount Taken (DKK),Goal D Utility Net Δ,Goal D Utility Loss,Goal D Value Now,Goal D Utility φ_before,Goal D Utility φ_after,Goal A Allocation (%),Goal A Amount Taken (DKK),Goal A Utility Net Δ,Goal A Utility Loss,Goal A Value Now,Goal A Utility φ_before,Goal A Utility φ_after
2027,NORMAL,Investment Grade Bonds - Obligations,1982.146462,0.013350326,0.0363,0.02,0.98,1942.503533,524.4759538,1418.027579,3400.174041,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,NORMAL,Government ZC Bonds - Obligations,2481.425876,0.016713116,0.0283,0.02,0.98,2431.797359,656.5852868,1775.212072,4256.637948,210908.174,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,ASK,Emerging Markets - Equities,45255.06,0.138181833,0.084,0.02,0.98,44349.9588,7539.492996,36810.4658,82065.5258,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,Emerging Markets - Equities,27489.48,0.083936398,0.084,0.02,0.98,26939.6904,10326.35667,16613.33373,44102.81373,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,ASK,Developed Markets - Equities,626.4,0.00191265,0.068,0.02,0.98,613.872,104.35824,509.51376,1135.91376,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,Developed Markets - Equities,380.5,0.001161819,0.068,0.02,0.98,372.89,142.9339047,229.9560953,610.4560953,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,Emerging Markets State - Obligations,1131.643137,0.00345536,0.0483,0.02,0.98,1109.010275,425.0990074,683.9112672,1815.554405,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,High Yield Bonds - Obligations,1089.734046,0.003327395,0.0493,0.02,0.98,1067.939365,409.3559585,658.5834063,1748.317452,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,Investment Grade Bonds - Obligations,734.2584549,0.002241985,0.0363,0.02,0.98,719.5732858,275.8224126,443.7508732,1178.009328,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2028,NORMAL,Government ZC Bonds - Obligations,250796.6049,0.765782533,0.0283,0.02,0.98,245780.6728,94211.13801,151569.5348,402366.1397,237588.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,
