Year,Asset,Weight,Allocation (%),Invested Amt (DKK),Path_ID
2045,Government ZC Bonds - Obligations,0.37448316626075806,37.45,359936.51592920825,0
2046,Emerging Markets - Equities,0.19592284112323996,19.59,193725.82368477026,0
2046,Developed Markets - Equities,0.4203264056604929,42.03,415612.99686246255,0
2046,Emerging Markets State - Obligations,0.0010368509928865186,0.1,1025.2240702704191,0
2046,High Yield Bonds - Obligations,0.004033660490055274,0.4,3988.4282834033543,0
2046,Investment Grade Bonds - Obligations,0.013331024788012463,1.33,13181.534847156043,0
2046,Government ZC Bonds - Obligations,0.36534921694531286,36.53,361252.3051398374,0
2047,Emerging Markets - Equities,0.19010465570184099,19.01,198550.85250934598,0
2047,Developed Markets - Equities,0.32635499798329176,32.64,340854.6878088949,0
2047,Emerging Markets State - Obligations,0.01588035044074867,1.59,16585.90162622347,0
2047,High Yield Bonds - Obligations,0.00736670801444176,0.74,7694.004920894098,0
2047,Investment Grade Bonds - Obligations,0.009750299840575068,0.98,10183.497812932166,0
2047,Government ZC Bonds - Obligations,0.4505429880191018,45.05,470560.2502634259,0
2048,Emerging Markets - Equities,0.18540499635727528,18.54,201673.78143874885,0
2048,Developed Markets - Equities,0.285741851981937,28.57,310814.92374381324,0
2048,Emerging Markets State - Obligations,0.012443079781020725,1.24,13534.92625056767,0
2048,High Yield Bonds - Obligations,0.00924706164346025,0.92,10058.466198182701,0
2048,Investment Grade Bonds - Obligations,0.006321659268197887,0.63,6876.367706553201,0
2048,Government ZC Bonds - Obligations,0.5008413509681088,50.08,544788.8198006838,0
2049,Emerging Markets - Equities,0.18033967048838875,18.03,199921.58223344327,0
2049,Developed Markets - Equities,0.26918865360279615,26.92,298418.09847948176,0
2049,Emerging Markets State - Obligations,0.0027352220526849613,0.27,3032.2220233167823,0
2049,High Yield Bonds - Obligations,0.0007856771833027609,0.08,870.9887579655763,0
2049,Investment Grade Bonds - Obligations,0.01617241390405378,1.62,17928.471131595757,0
2049,Government ZC Bonds - Obligations,0.5307783627687737,53.08,588412.1325753557,0
2050,Emerging Markets - Equities,0.020850954218913774,2.09,25690.424177993118,0
2050,Developed Markets - Equities,0.0013269992093036048,0.13,1634.9934018821634,0
2050,Emerging Markets State - Obligations,0.006033204263407005,0.6,7433.500407324617,0
2050,High Yield Bonds - Obligations,0.02014356678537374,2.01,24818.853359937188,0
2050,Investment Grade Bonds - Obligations,0.0034360367066898338,0.34,4233.53480897024,0
2050,Government ZC Bonds - Obligations,0.948209238816312,94.82,1168286.942598834,0
2051,Emerging Markets - Equities,0.01157728819918928,1.16,14651.035721376134,0
2051,Developed Markets - Equities,0.008302433839600996,0.83,10506.713892366799,0
2051,Emerging Markets State - Obligations,0.011063761486855162,1.11,14001.168664700905,0
2051,High Yield Bonds - Obligations,0.012432812912157296,1.24,15733.700583350652,0
2051,Investment Grade Bonds - Obligations,0.004691974524700565,0.47,5937.68464449115,0
2051,Government ZC Bonds - Obligations,0.9519317290374967,95.19,1204667.7534913884,0
2052,Emerging Markets - Equities,0.02319770420172619,2.32,30178.293529051647,0
2052,Developed Markets - Equities,0.009321405304406434,0.93,12126.376943745317,0
2052,Emerging Markets State - Obligations,0.0065880785100771045,0.66,8570.544970340197,0
2052,High Yield Bonds - Obligations,0.03043642966191659,3.04,39595.2763396864,0
2052,Investment Grade Bonds - Obligations,0.002683655525710948,0.27,3491.2137632886916,0
2052,Government ZC Bonds - Obligations,0.9277727267961627,92.78,1206955.5432739677,0
2053,Emerging Markets - Equities,0.007426741997835145,0.74,9922.121752457984,0
2053,Developed Markets - Equities,0.02419753647457653,2.42,32327.890625563195,0
2053,Emerging Markets State - Obligations,0.026277935162111264,2.63,35107.301715566115,0
2053,High Yield Bonds - Obligations,0.005076158350083606,0.51,6781.743757756399,0
2053,Investment Grade Bonds - Obligations,0.02189369832294282,2.19,29249.964578700296,0
2053,Government ZC Bonds - Obligations,0.9151279296924507,91.51,1222610.2293751526,0
2054,Emerging Markets - Equities,0.003234452763516431,0.32,3940.807071196313,0
2054,Developed Markets - Equities,0.006250818047872018,0.63,7615.899740961063,0
2054,Emerging Markets State - Obligations,0.006077540701690901,0.61,7404.781310415088,0
2054,High Yield Bonds - Obligations,0.00587769603668421,0.59,7161.293670749263,0
2054,Investment Grade Bonds - Obligations,0.0021231590790683095,0.21,2586.824085497127,0
2054,Government ZC Bonds - Obligations,0.9764363333711681,97.64,1189674.8811810408,0
2055,Emerging Markets - Equities,0.19516120352497573,19.52,221963.13656677972,0
2055,Developed Markets - Equities,0.2987103257156973,29.87,339732.89579686103,0
2055,Emerging Markets State - Obligations,0.014102332502336072,1.41,16039.037977779079,0
2055,High Yield Bonds - Obligations,0.011869504780504475,1.19,13499.570934127785,0
2055,Investment Grade Bonds - Obligations,0.006234906053734213,0.62,7091.159917493243,0
2055,Government ZC Bonds - Obligations,0.4739217274227521,47.39,539006.4787771121,0
2056,Emerging Markets - Equities,0.021164098955934577,2.12,27519.486431765006,0
2056,Developed Markets - Equities,0.00844482202884003,0.84,10980.725696151949,0
2056,Emerging Markets State - Obligations,0.010058495738107248,1.01,13078.971023767132,0
2056,High Yield Bonds - Obligations,0.016474849926623437,1.65,21422.09833572656,0
2056,Investment Grade Bonds - Obligations,0.015394869924284857,1.54,20017.8101076846,0
2056,Government ZC Bonds - Obligations,0.9284628634262099,92.85,1207271.862868068,0
2057,Emerging Markets - Equities,0.016517983030443394,1.65,23097.568641309328,0
2057,Developed Markets - Equities,0.022902769531296694,2.29,32025.5984250768,0
2057,Emerging Markets State - Obligations,0.018581975886724323,1.86,25983.708951857956,0
2057,High Yield Bonds - Obligations,0.012951980633649942,1.3,18111.125382274247,0
2057,Investment Grade Bonds - Obligations,0.006141981463260105,0.61,8588.508547310917,0
2057,Government ZC Bonds - Obligations,0.9229033094546256,92.29,1290522.1236837383,0
2058,Emerging Markets - Equities,0.028632731781563427,2.86,42403.657072687565,0
2058,Developed Markets - Equities,0.03332306701375668,3.33,49349.8111546369,0
2058,Emerging Markets State - Obligations,0.03644447336239692,3.64,53972.45929739904,0
2058,High Yield Bonds - Obligations,0.04191043200993931,4.19,62067.27322685858,0
2058,Investment Grade Bonds - Obligations,0.0022147901394625976,0.22,3279.9944580284064,0
2058,Government ZC Bonds - Obligations,0.8574745056928811,85.75,1269877.256748006,0
2059,Emerging Markets - Equities,0.0190736792014704,1.91,26134.085456487173,0
2059,Developed Markets - Equities,0.01588012066643362,1.59,21758.383695784858,0
2059,Emerging Markets State - Obligations,0.018118470292478175,1.81,24825.291752204033,0
2059,High Yield Bonds - Obligations,0.02292740185642338,2.29,31414.320912181414,0
2059,Investment Grade Bonds - Obligations,0.0034373382462998927,0.34,4709.720160582756,0
2059,Government ZC Bonds - Obligations,0.9205629897368945,92.06,1261323.0823347745,0
2060,Emerging Markets - Equities,0.02335411023171901,2.34,35247.028134851455,0
2060,Developed Markets - Equities,0.03903652572580231,3.9,58915.604443600765,0
2060,Emerging Markets State - Obligations,0.01615744803879138,1.62,24385.515866804286,0
2060,High Yield Bonds - Obligations,0.00199771250489393,0.2,3015.033677870846,0
2060,Investment Grade Bonds - Obligations,0.02181714153949853,2.18,32927.36884577677,0
2060,Government ZC Bonds - Obligations,0.8976370619592948,89.76,1354752.4809912585,0
2061,Emerging Markets - Equities,0.03689055612752431,3.69,60333.19010886361,0
2061,Developed Markets - Equities,0.03280395808405741,3.28,53649.70461727352,0
2061,Emerging Markets State - Obligations,0.04383924848510514,4.38,71697.52887265732,0
2061,High Yield Bonds - Obligations,0.024371489793195544,2.44,39858.7031826287,0
2061,Investment Grade Bonds - Obligations,0.013685441154039312,1.37,22382.05138507709,0
2061,Government ZC Bonds - Obligations,0.8484093063560781,84.84,1387543.1910965203,0
2062,Emerging Markets - Equities,0.04479613953587841,4.48,73837.58813638844,0
2062,Developed Markets - Equities,0.014224569991965745,1.42,23446.394072479787,0
2062,Emerging Markets State - Obligations,0.06432779740606613,6.43,106031.66834914201,0
2062,High Yield Bonds - Obligations,0.064325032815433,6.43,106027.11146753012,0
2062,Investment Grade Bonds - Obligations,0.009571867484967213,0.96,15777.332966047928,0
2062,Government ZC Bonds - Obligations,0.8027545927656895,80.28,1323182.390477053,0
2063,Emerging Markets - Equities,0.029967502193910766,3.0,51641.13901960942,0
2063,Developed Markets - Equities,0.0136650731071636,1.37,23548.17346717512,0
2063,Emerging Markets State - Obligations,0.04950366526897784,4.95,85306.59791375429,0
2063,High Yield Bonds - Obligations,0.009699920784441455,0.97,16715.27224615748,0
2063,Investment Grade Bonds - Obligations,0.014053685427023874,1.41,24217.844990172955,0
2063,Government ZC Bonds - Obligations,0.8831101532184824,88.31,1521808.9881795647,0
2064,Emerging Markets - Equities,0.02607377184724957,2.61,42764.492351857225,0
2064,Developed Markets - Equities,0.003914305999917093,0.39,6419.98825397949,0
2064,Emerging Markets State - Obligations,0.030217703054386383,3.02,49561.096826745204,0
2064,High Yield Bonds - Obligations,0.03435455608755272,3.44,56346.09214441578,0
2064,Investment Grade Bonds - Obligations,0.02970257417663811,2.97,48716.21619030554,0
2064,Government ZC Bonds - Obligations,0.875737088834256,87.57,1436326.5988936988,0
2065,Emerging Markets - Equities,0.04941913521613004,4.94,85144.83288159949,0
2065,Developed Markets - Equities,0.04852749531981943,4.85,83608.61559188143,0
2065,Emerging Markets State - Obligations,0.016051111169338935,1.61,27654.655875711636,0
2065,High Yield Bonds - Obligations,0.06089693433543901,6.09,104920.07345568296,0
2065,Investment Grade Bonds - Obligations,0.024448566171053975,2.44,42122.73387069865,0
2065,Government ZC Bonds - Obligations,0.8006567577882187,80.07,1379461.326857666,0
2066,Emerging Markets - Equities,0.04889476148117314,4.89,79263.67861270293,0
2066,Developed Markets - Equities,0.014144394796057582,1.41,22929.58855556721,0
2066,Emerging Markets State - Obligations,0.03828374351096571,3.83,62062.07474624396,0
2066,High Yield Bonds - Obligations,0.022572328951171894,2.26,36592.17824827338,0
2066,Investment Grade Bonds - Obligations,0.01474080318795597,1.47,23896.430844296963,0
2066,Government ZC Bonds - Obligations,0.8613639680726757,86.14,1396363.8366487222,0
2067,Emerging Markets - Equities,0.0008184606327639617,0.08,1338.2533983233855,0
2067,Developed Markets - Equities,0.0712987067299001,7.13,116579.50640231767,0
2067,Emerging Markets State - Obligations,0.017762311556408197,1.78,29042.90426549721,0
2067,High Yield Bonds - Obligations,0.06596708674502985,6.6,107861.8500145862,0
2067,Investment Grade Bonds - Obligations,0.02132952004763106,2.13,34875.59638874045,0
2067,Government ZC Bonds - Obligations,0.8228239142882668,82.28,1345387.738197527,0
2068,Emerging Markets - Equities,0.009118035327642698,0.91,14554.67400733029,0
