Year,Asset,Weight,Allocation (%),Invested Amt (DKK)
2033,Emerging Markets State - Obligations,0.0005122792548232583,0.05,497.7791556868519
2033,High Yield Bonds - Obligations,0.0031752991147901356,0.32,3085.422057465053
2033,Investment Grade Bonds - Obligations,0.0010461391886363157,0.1,1016.5281477774781
2033,Government ZC Bonds - Obligations,0.3123958543632142,31.24,303553.46846642083
2034,Emerging Markets - Equities,0.7836518700364965,78.37,1285249.9243829562
2034,Developed Markets - Equities,0.0013735944230256231,0.14,2252.8015255604673
2034,Emerging Markets State - Obligations,0.006160169617936861,0.62,10103.156565262589
2034,High Yield Bonds - Obligations,0.006260662185779484,0.63,10267.972180664317
2034,Investment Grade Bonds - Obligations,0.006172336319709857,0.62,10123.110901022683
2034,Government ZC Bonds - Obligations,0.19638136741705187,19.64,322080.6933201507
2035,Emerging Markets - Equities,0.21415648570828325,21.42,631925.7957145857
2035,Developed Markets - Equities,0.6221109472666064,62.21,1835704.1771301317
2035,Emerging Markets State - Obligations,0.014524758991034958,1.45,42859.17306037178
2035,High Yield Bonds - Obligations,0.016748151853098133,1.67,49419.88635793342
2035,Investment Grade Bonds - Obligations,0.020527897524937534,2.05,60573.033475454926
2035,Government ZC Bonds - Obligations,0.11193175865603973,11.19,330284.4899631029
2036,Emerging Markets - Equities,0.232607362280511,23.26,1044118.1807118219
2036,Developed Markets - Equities,0.66172045074572,66.17,2970303.030818196
2036,Emerging Markets State - Obligations,0.013622911464880545,1.36,61149.954134108884
2036,High Yield Bonds - Obligations,0.008539505067750681,0.85,38331.77251185515
2036,Investment Grade Bonds - Obligations,0.013482617839855634,1.35,60520.20998890927
2036,Government ZC Bonds - Obligations,0.07002715260128217,7.0,314334.94820471527
2037,Emerging Markets - Equities,0.19018985732457158,19.02,1117310.524205466
2037,Developed Markets - Equities,0.36168824654335546,36.17,2124814.0675275763
2037,Emerging Markets State - Obligations,0.0006381557270321351,0.06,3748.980728652541
2037,High Yield Bonds - Obligations,0.0008267529265511108,0.08,4856.934847880988
2037,Investment Grade Bonds - Obligations,0.007780620439482788,0.78,45708.899644666475
