Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,TOTAL ASK Cap (DKK),Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed
2038,NORMAL,Investment Grade Bonds - Obligations,368.42294414401124,0.004049095374943652,-0.9977273011353145,0.02,-1.0177273011353145,-374.9540886200113,0.0,-374.9540886200113,-6.531144476000065,781873.6338875197,,,,,,,,
2038,NORMAL,Government ZC Bonds - Obligations,3065.997406931618,0.03369637021070921,-0.997932653226807,0.02,-1.017932653226807,-3120.978875224412,0.0,-3120.978875224412,-54.981468292794034,781873.6338875197,,,,,,,,
2039,ASK,Emerging Markets - Equities,90126.59,0.9724503918712465,-0.9943429124808011,0.02,-1.014342912480801,-91419.26779256303,-15541.275524735716,-75877.99226782731,14248.597732172686,880780.648574291,,,,,,,,
2039,ASK,Developed Markets - Equities,392.54,0.004235439028871936,-0.9978835474948548,0.02,-1.0178835474948547,-399.56000773363024,-67.92520131471714,-331.6348064189131,60.90519358108692,880780.648574291,,,,,,,,
2039,NORMAL,Emerging Markets State - Obligations,791.2831733794956,0.008537809230705544,-0.9975819095312218,0.02,-1.0175819095312217,-805.1954425474319,0.0,-805.1954425474319,-13.912269167936302,880780.648574291,,,,,,,,
2039,NORMAL,High Yield Bonds - Obligations,756.0489826206882,0.008157638377568102,-0.9978458539673262,0.02,-1.017845853967326,-769.5413223566825,0.0,-769.5413223566825,-13.492339735994278,880780.648574291,,,,,,,,
2039,NORMAL,Investment Grade Bonds - Obligations,143.37604166193003,0.0015470028090388422,-0.9977158141595878,0.02,-1.0177158141595877,-145.9160649709501,0.0,-145.9160649709501,-2.5400233090200572,880780.648574291,,,,,,,,
2039,NORMAL,Government ZC Bonds - Obligations,470.04984145436066,0.005071756875760087,-0.9979207882528864,0.02,-1.0179207882528865,-478.4735051313671,0.0,-478.4735051313671,-8.42366367700646,880780.648574291,,,,,,,,
2039,,,,,,,,,,,,,GOAL D,329.1825384652254,329.1825384652254,300000.0,0.1616003905146557,0.144,-0.0176003905146557,True
2040,ASK,Emerging Markets - Equities,25.12,0.0002449499472621253,-0.9944151460308028,0.02,-1.0144151460308029,-25.48210846829377,-4.3319584396099415,-21.15015002868383,3.9698499713161723,992199.4006189388,,,,,,,,
2040,ASK,Developed Markets - Equities,98574.8,0.9612218177298786,-0.9980983375811432,0.02,-1.0180983375811432,-100358.84000739368,-17061.002801256927,-83297.83720613676,15276.962793863251,992199.4006189388,,,,,,,,
2040,NORMAL,Emerging Markets State - Obligations,1162.3748547097598,0.011334540579616888,-0.9976133003904343,0.02,-1.0176133003904342,-1182.8481121920502,0.0,-1182.8481121920502,-20.473257482290364,992199.4006189388,,,,,,,,
2040,NORMAL,High Yield Bonds - Obligations,965.0285253322618,0.009410178598192041,-0.998030084362176,0.02,-1.018030084362176,-982.4280710559086,0.0,-982.4280710559086,-17.39954572364684,992199.4006189388,,,,,,,,
2040,NORMAL,Investment Grade Bonds - Obligations,929.3394964236643,0.009062168019012207,-0.9979093056012536,0.02,-1.0179093056012536,-945.9833214724308,0.0,-945.9833214724308,-16.64382504876653,992199.4006189388,,,,,,,,
2040,NORMAL,Government ZC Bonds - Obligations,894.8992968304894,0.008726335014472189,-0.998044813185363,0.02,-1.018044813185363,-911.0475874615083,0.0,-911.0475874615083,-16.14829063101888,992199.4006189388,,,,,,,,
2041,ASK,Emerging Markets - Equities,99193.37,0.9503692933378376,-0.994533322177831,0.02,-1.014533322177831,-100634.97920411479,-17107.946464699515,-83527.03273941527,15666.337260584722,1117712.6247972348,,,,,,,,
2041,ASK,Developed Markets - Equities,660.37,0.006326989094548434,-0.9982221244698697,0.02,-1.0182221244698697,-672.4033443361678,-114.30856853714855,-558.0947757990193,102.27522420098072,1117712.6247972348,,,,,,,,
2041,NORMAL,Emerging Markets State - Obligations,980.5387333182343,0.009394518031538084,-0.9975757916094206,0.02,-1.0175757916094206,-997.7724777600008,0.0,-997.7724777600008,-17.233744441766476,1117712.6247972348,,,,,,,,
