Year,Account,Asset,Invested,Weight,Return (Nominal),Inflation Rate,Return (Inflation Adjusted),Gross Gain,Tax,Net Gain,End Value,ASK_Cap,ASK_Return,ASK_Return_MAX,ASK_Cap_Full,Goal,Redeemed Amount,Allocated Value,Goal Value,Utility (Keep),Utility (Redeem),Utility Δ,Redeemed,Path_ID
2052,NORMAL,High Yield Bonds - Obligations,9619.236716037365,0.005300472504361839,0.01600845729539224,0.02,-0.003991542704607762,-38.39559413779352,-14.540959659759391,-23.854634478034132,9595.382081559332,166200.0,31116.05876855011,66509.02497730029,232709.0249773003,,,,,,,,,1
2052,NORMAL,Investment Grade Bonds - Obligations,29643.745325648717,0.016334545210114515,-0.004257541454845137,0.02,-0.024257541454845138,-719.0843811137966,-272.3275212310505,-446.756859882746,29196.98846576597,166200.0,31116.05876855011,66509.02497730029,232709.0249773003,,,,,,,,,1
2052,NORMAL,Government ZC Bonds - Obligations,3858.8623680487326,0.002126342711356504,0.02933760436047073,0.02,0.009337604360470729,36.03253007434796,13.646033562335974,22.386496512011988,3881.2488645607446,166200.0,31116.05876855011,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,ASK,Emerging Markets - Equities,59297.76,0.028374681648115213,-0.2640859999682236,0.02,-0.2840859999682236,-16845.66344547573,-2863.7627857308744,-13981.900659744855,45315.85934025515,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,Emerging Markets - Equities,456659.71,0.2185170888878537,-0.2640859999682236,0.02,-0.2840859999682236,-129730.63036054902,0.0,-129730.63036054902,326929.079639451,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,ASK,Developed Markets - Equities,173411.27,0.08297934998632919,-0.2403877718879779,0.02,-0.2603877718879779,-45154.17421556455,-7676.209616645973,-37477.964598918574,135933.30540108142,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,Developed Markets - Equities,1335462.57,0.6390346832110316,-0.2403877718879779,0.02,-0.2603877718879779,-347738.1230420928,0.0,-347738.1230420928,987724.4469579073,166200.0,-13981.900659744853,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,Emerging Markets State - Obligations,12001.706650348116,0.0057429590162882205,-0.05931830409754646,0.02,-0.07931830409754646,-951.9550177818583,0.0,-951.9550177818583,11049.751632566258,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,High Yield Bonds - Obligations,15210.436660268506,0.007278374393298155,-0.01809376861396328,0.02,-0.03809376861396328,-579.4228546536124,0.0,-579.4228546536124,14631.013805614893,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,Investment Grade Bonds - Obligations,18433.5282453646,0.008820661954410424,0.06144349003997673,0.02,0.04144349003997673,763.9497442383981,0.0,763.9497442383981,19197.477989602998,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2053,NORMAL,Government ZC Bonds - Obligations,19335.368509550957,0.00925220321994457,0.02291702340747048,0.02,0.0029170234074704787,56.4017225344287,0.0,56.4017225344287,19391.770232085386,166200.0,-51459.86525866343,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,ASK,Emerging Markets - Equities,59374.89,0.035931714505884824,0.4365939833842372,0.02,0.4165939833842372,24735.221938100905,4204.987729477154,20530.23420862375,79905.12420862375,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,Emerging Markets - Equities,352719.01,0.21345384838807,0.4365939833842372,0.02,0.4165939833842372,146940.61739124457,49768.40007617608,97172.21731506848,449891.2273150685,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,ASK,Developed Markets - Equities,173334.13,0.10489606756805656,-0.005067591030613161,0.02,-0.02506759103061316,-4345.069082487142,-738.6617440228141,-3606.4073384643275,169727.72266153566,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,Developed Markets - Equities,1029698.57,0.6231394288790743,-0.005067591030613161,0.02,-0.02506759103061316,-25812.06263756717,-8742.477627661745,-17069.585009905426,1012628.9849900946,166200.0,20530.234208623748,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,Emerging Markets State - Obligations,3533.3061068891125,0.0021382396884379734,0.2303024125913433,0.02,0.2103024125913433,743.0627987025068,251.67341273028407,491.3893859722227,4024.695492861335,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,High Yield Bonds - Obligations,8774.076070881853,0.005309779882233758,0.1487927755852589,0.02,0.12879277558525892,1130.037610365076,382.740762168093,747.2968481969831,9521.372919078836,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,Investment Grade Bonds - Obligations,17849.73556388705,0.010802068050772448,0.09263636362880634,0.02,0.07263636362880634,1296.539883096535,439.1346433835778,857.4052397129573,18707.140803600007,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,NORMAL,Government ZC Bonds - Obligations,7153.1475788287835,0.004328847710217856,0.05306456001232585,0.02,0.033064560012325855,236.51567739720758,80.1072369639669,156.40844043324068,7309.556019262024,166200.0,16923.82687015939,66509.02497730029,232709.0249773003,,,,,,,,,1
2054,,,,,,,,,,,,,,,,GOAL D,0.0,53082.29770939772,750000.0,0.542236936637261,0.4600870920923499,-0.08214984454491114,FALSE,1
2055,ASK,Emerging Markets - Equities,59206.12,0.0320950985297474,0.08555135197784325,0.02,0.06555135197784324,3881.041211362426,659.7770059316125,3221.2642054308135,62427.38420543082,166200.0,8736.367028414126,66509.02497730029,232709.0249773003,,,,,,,,,1
2055,NORMAL,Emerging Markets - Equities,377273.76,0.2045166698964275,0.08555135197784325,0.02,0.06555135197784324,24730.805033764336,6830.124568704441,17900.680465059893,395174.4404650599,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2055,ASK,Developed Markets - Equities,173502.9,0.09405434219801788,0.05829735523939639,0.02,0.03829735523939638,6644.702196365455,1129.5993733821274,5515.102822983328,179018.0028229833,166200.0,8736.367028414126,66509.02497730029,232709.0249773003,,,,,,,,,1
2055,NORMAL,Developed Markets - Equities,1105596.67,0.5993338874057381,0.05829735523939639,0.02,0.03829735523939638,42341.428422483616,11693.805767649386,30647.62265483423,1136244.2926548342,166200.0,3221.264205430816,66509.02497730029,232709.0249773003,,,,,,,,,1
2055,NORMAL,Investment Grade Bonds - Obligations,9.33359984684144e-11,5.059659486580294e-17,0.09338913605402888,0.02,0.07338913605402887,6.849848290337096e-12,1.891783022665648e-12,4.958065267671448e-12,9.829406373608585e-11,166200.0,8736.367028414126,66509.02497730029,232709.0249773003,,,,,,,,,1
2055,NORMAL,Government ZC Bonds - Obligations,129129.63629504778,0.07000000000000008,0.04577014841707472,0.02,0.025770148417074718,3327.689892366252,919.0374700641361,2408.652422302116,131538.2887173499,166200.0,8736.367028414126,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,ASK,Emerging Markets - Equities,59057.33,0.029556269643400784,-0.07595564863299875,0.02,-0.09595564863299876,-5666.884406683057,-963.3703491361198,-4703.514057546938,54353.81594245307,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,Emerging Markets - Equities,421337.92,0.21086590224294982,-0.07595564863299875,0.02,-0.09595564863299876,-40429.753407278564,0.0,-40429.753407278564,380908.1665927214,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,ASK,Developed Markets - Equities,173651.69,0.08690701346762957,-0.1050619975926047,0.02,-0.1250619975926047,-21717.227236731735,-3691.928630244395,-18025.29860648734,155626.39139351266,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,Developed Markets - Equities,1238898.54,0.6200283573445592,-0.1050619975926047,0.02,-0.1250619975926047,-154939.1262269616,0.0,-154939.1262269616,1083959.4137730384,166200.0,-4703.514057546934,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,Emerging Markets State - Obligations,38330.48380814124,0.01918315838178648,-0.0249724612192711,0.02,-0.0449724612192711,-1723.816196577529,0.0,-1723.816196577529,36606.66761156371,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,High Yield Bonds - Obligations,9802.04342705459,0.004905603395655539,-0.02456409308115715,0.02,-0.04456409308115715,-436.81917566880475,0.0,-436.81917566880475,9365.224251385785,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,Investment Grade Bonds - Obligations,22338.771732762634,0.011179827480109782,0.03964655846350751,0.02,0.019646558463507508,438.8799848506678,0.0,438.8799848506678,22777.651717613302,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2056,NORMAL,Government ZC Bonds - Obligations,34715.27093114759,0.017373862116433495,0.03696825637389667,0.02,0.016968256373896668,589.0576172489964,0.0,589.0576172489964,35304.32854839659,166200.0,-22728.81266403428,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,ASK,Emerging Markets - Equities,59447.72,0.03173295147581326,-0.02194169902240695,0.02,-0.04194169902240695,-2493.338379808323,-423.867524567415,-2069.4708552409083,57378.249144759095,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,Emerging Markets - Equities,402651.25,0.21493360179205448,-0.02194169902240695,0.02,-0.04194169902240695,-16887.87753849593,0.0,-16887.87753849593,385763.37246150407,166200.0,0.0,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,ASK,Developed Markets - Equities,173261.3,0.0924861782005487,-0.116686768571915,0.02,-0.136686768571915,-23682.527215569135,-4026.029626646753,-19656.497588922382,153604.8024110776,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,Developed Markets - Equities,1173533.25,0.6264272822827087,-0.116686768571915,0.02,-0.136686768571915,-160406.4677541972,0.0,-160406.4677541972,1013126.7822458028,166200.0,-2069.4708552409065,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,Emerging Markets State - Obligations,3113.122455223631,0.0016617721219565043,-0.01175470258928479,0.02,-0.03175470258928479,-98.8562776896506,0.0,-98.8562776896506,3014.26617753398,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,High Yield Bonds - Obligations,9047.248307458243,0.004829384399102373,-0.04467595979324157,0.02,-0.06467595979324157,-585.1394677726421,0.0,-585.1394677726421,8462.108839685601,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,Investment Grade Bonds - Obligations,21670.676472790852,0.01156771908088519,0.01376558107017622,0.02,-0.006234418929823781,-135.10407562405453,0.0,-135.10407562405453,21535.572397166798,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
2057,NORMAL,Government ZC Bonds - Obligations,30650.48894095632,0.016361106502878794,0.03611140742860375,0.02,0.016111407428603747,493.82251521365833,0.0,493.82251521365833,31144.311456169977,166200.0,-21725.9684441633,66509.02497730029,232709.0249773003,,,,,,,,,1
